"Lab_ID","Field_ID","Date","Temp_C","pH","SpCond_us_cm","DO_mgL","CO2_ppm","CH4_ppm","Alkalinity_mgL","DIC_umolesL","DOC_mgL_ofC","SUVA_Lmg_Cm","UV_at254nm","Calcium_mgL","Potassium_mgL","Magnesium_mgL","Sodium_mgL","Chloride_mgL","Sulfate_mgL","Ammonium_mgL","Nitrate_mgL","Phosphorous_mgL","H2_permil","O18_permil","DIC_13C_permil","TYPE","Source"
9301,"Canvasback Lake","2007-08-29",16.8,8.58,609,11.9,967,35,404,7883,66,21,0.851,27.73,3.97,48.21,54.65,5.85,5.2,0.035,0.155,"NA",-106.11,-9.04,-2.93,"Lake","USGS_RStriegl"
9302,"Thumb Lake","2007-08-30",17.1,9.37,126,10.2,17,53,74,941,85,14,0.77,22.32,1.89,6.58,1.97,0.77,0.8,0.035,0.155,"NA",-125.86,-12.89,-9.34,"Lake","USGS_RStriegl"
9303,"Twelvemile Lake","2007-08-29",16.9,8.96,552,11.1,187,231,306,4690,87,4,0.409,26,23.97,62.04,18.43,7.67,42.3,0.035,0.155,"NA",-84.94,-4.46,1.05,"Lake","USGS_RStriegl"
9307,"West Crazy Lake","2007-08-30",16.5,8,119,10.2,424,4.6,46,766,20,21,0.518,17.29,2.23,5.58,1.52,1.02,15.7,0.035,0.155,"NA",-112.15,-10.02,-6.95,"Lake","USGS_RStriegl"
9308,"Twin Lakes","2007-08-30",17.3,9.22,145,10.4,37,14.6,62,882,28,20,0.577,24.49,0.59,6.73,1.48,0.68,21.3,0.035,0.155,"NA",-106.4,-8.97,-9.45,"Lake","USGS_RStriegl"
9309,"Scoter Lake","2007-08-30",17.4,8.54,320,8.9,676,7.7,187,3142,41,5,0.306,26.21,7.25,27.66,10.05,3.65,1.9,0.035,0.155,"NA",-123.41,-11.7,-1.17,"Lake","USGS_RStriegl"
9310,"Shack Lake","2007-08-29",18,8.73,1423,9.3,1492,7.7,848,15087,6,30,4.366,19.04,11.5,33.01,351.78,24.6,6.8,0.035,0.155,"NA",-139.06,-14.91,-4.19,"Lake","USGS_RStriegl"
9312,"Sands of Time Lake","2007-08-29",16,8.03,143,9.7,635,12.5,75,1335,29,14,0.459,23.64,1.62,6.4,1.8,0.89,5,0.035,0.155,"NA",-108.23,-9.27,-5.16,"Lake","USGS_RStriegl"
9318,"Twelvemile Pond","2007-08-29",NA,NA,NA,NA,180,8.4,108,1509,5,3,1.074,464.93,79.66,155.11,38,24.94,1482.06,0.09,0.155,"NA",-128.27,-13.26,-2.69,"Lake","USGS_RStriegl"
9321,"Teardrops Lake","2007-08-30",16.8,8.41,232,9.6,535,16.7,131,2387,115,4,0.083,32.19,2.85,12.93,4.12,1.53,5.6,0.035,0.155,"NA",-102.15,-8.33,-1.4,"Lake","USGS_RStriegl"
9323,"Greenpepper Lake","2007-08-30",16.8,8.89,831,9.8,NA,NA,464,NA,83,3,0.349,23.26,13,73.83,73.87,48.61,5.9,0.035,0.155,"NA",-113.36,-10.4,NA,"Lake","USGS_RStriegl"
9377,"Shack Lake","2008-03-28",0.2,7.96,3999,0.5,6643,2238,2467,21668,84,27,11.98,54.39,30.35,94.62,939.5,77.72,12.9,0.045,0.45,"NA",-112.48,-9.83,-4.59,"Lake","USGS_RStriegl"
9378,"Twin Lakes","2008-03-28",1.8,6.71,299,0.6,9959,4267,131,3108,75,20,0.933,43.63,2.26,11.88,2.6,1.4,19.5,0.89,0.155,"NA",-125.57,-12.36,-12.57,"Lake","USGS_RStriegl"
9379,"Greenpepper Lake","2008-03-26",0.7,8.36,1004,0.3,741,53,522,6389,98,2,0.373,24.78,14.33,87.27,79.4,55.33,6.2,0.21,0.76,"NA",-146.93,-16.74,-2.21,"Lake","USGS_RStriegl"
9380,"Sands of Time Lake","2008-03-28",0.6,7.07,185,8,2737,2.5,89,1825,47,13,0.508,27.4,2.21,7.44,2.1,1.07,5.8,0.045,0.63,"NA",-135.23,-14.06,-7.18,"Lake","USGS_RStriegl"
9381,"Twelvemile Lake","2008-03-27",0.4,8.07,720,0.9,832,8.9,359,4521,99,4,0.474,29.7,27.48,69.39,21.1,9.82,49.1,0.16,1.24,"NA",-134.48,-13.9,-0.1,"Lake","USGS_RStriegl"
9382,"Teardrops Lake","2008-03-27",1.1,7.65,283,9.8,976,22,147,2878,116,4,0.088,35.33,3.41,14.4,4.5,1.72,6.1,0.045,0.155,"NA",-157.72,-18.5,-2.24,"Lake","USGS_RStriegl"
9383,"Scoter Lake","2008-03-27",1.4,7.06,438,0.7,4407,27.4,235,4406,62,4,0.343,34.67,8.71,33.85,11.9,4.89,2.6,0.045,1.06,"NA",-114.21,-10.4,-2.91,"Lake","USGS_RStriegl"
9384,"Thumb Lake","2008-03-26",1,6.73,270,0.5,15081,9631,131,3178,111,14,1.201,38.28,4.29,10.99,2.9,1.52,0.8,1.94,0.155,"NA",-123.66,-11.94,-4.66,"Lake","USGS_RStriegl"
9385,"West Crazy Lake","2008-03-27",1.2,7.14,156,4.6,4369,4.4,55,1272,26,19,0.563,20.29,2.86,6.69,1.8,1.28,19.4,0.045,0.83,"NA",-112.9,-9.88,-11.42,"Lake","USGS_RStriegl"
9386,"Canvasback Lake","2008-03-27",0.9,7.01,1227,0.7,17725,4869,730,8862,108,18,1.418,51.07,6.76,94.64,103.5,11.94,6.2,2.03,0.155,"NA",-103.86,-8.54,-4.55,"Lake","USGS_RStriegl"
9406,"Thumb Lake","2008-05-23",13.5,7.2,152,10.4,2854,97.9,70,1645,72,16,0.769,16.83,1.95,4.89,1.24,1.01,0.81,0.12,0.155,"NA",-109.3,-9.68,-1.98,"Lake","USGS_RStriegl"
9407,"West Crazy Lake","2008-05-23",7.1,6.77,119,7.9,2768,13.5,40,1030,18,24,0.54,14.09,2.25,4.56,1.15,1.08,12.12,0.15,0.155,"NA",-132.8,-13.71,-10.05,"Lake","USGS_RStriegl"
9408,"Teardrops Lake","2008-05-23",5.5,7.99,280,10.8,1150,9,142,3315,120,4,0.094,33.78,3.11,13.72,4.17,1.67,5.8,0.045,0.155,"NA",-130.91,-13.78,-2.83,"Lake","USGS_RStriegl"
9409,"Shack Lake","2008-05-23",13.6,8.79,797,13.6,67230,18.9,434,8103,112,30,2.292,9.14,5.98,16.58,171.59,13.84,3.05,0.4,0.155,"NA",-161.26,-19.21,-4.88,"Lake","USGS_RStriegl"
9411,"Scoter Lake","2008-05-27",11.6,7.8,378,9.4,86284,41.1,201,4518,37,5,0.275,30.07,7.19,28.41,9.71,4.1,2.11,0.1,0.155,"NA",-112.11,-8.77,-2.07,"Lake","USGS_RStriegl"
9412,"Twelvemile Lake","2008-05-27",11.5,8.13,659,10.4,1711,29.3,304,6358,81,4,0.394,26.61,22.87,60.4,17.47,7.92,45.09,0.17,0.155,"NA",-116.08,-9.91,-0.16,"Lake","USGS_RStriegl"
9413,"Greenpepper Lake","2008-05-27",9.1,8.78,873,9.7,973,25.8,439,8684,73,3,0.328,21.13,11.91,75.37,66.29,45.24,8.58,0.19,0.155,"NA",-116.84,-10.52,-2.45,"Lake","USGS_RStriegl"
9414,"Canvasback Lake","2008-05-27",12.7,8.24,647,11,2512,10.3,364,7701,49,19,0.678,25.88,3.93,50.55,53.81,6.28,5.66,0.18,0.155,"NA",-150.5,-17.59,-3.14,"Lake","USGS_RStriegl"
9415,"Sands of Time Lake","2008-06-04",13.3,7.7,160,10.8,1215,8,75,1672,33,15,0.52,22.73,1.8,6.14,1.59,0.96,4.83,0.07,0.155,"NA",-111.39,-9.98,-6.1,"Lake","USGS_RStriegl"
9416,"Twin Lakes","2008-06-04",16.1,7.32,168,8.7,31250,28.2,52,1379,53,26,0.911,23.88,1.49,6.06,1.1,0.97,19.14,0.07,0.155,"NA",-141.79,-15.14,-8.91,"Lake","USGS_RStriegl"
9703,"Yukon Flats Lake 292A","2008-07-14",21.5,8.6,700,NA,2180,30.6,378,7953,109,22,1.687,39.34,14.62,61.51,35.73,13.48,1.73,0.045,0.155,"NA",-142.46,-15.22,-4.47,"Lake","USGS_RStriegl"
9704,"Yukon Flats Lake 255A","2008-07-14",20.5,9.54,200,NA,60,24.2,108,1843,21,6,0.259,17.62,2.06,14.87,4.81,1.49,2.43,0.045,0.155,"NA",-155.82,-18,-4.29,"Lake","USGS_RStriegl"
9705,"Yukon Flats Lake 295A","2008-07-14",20,9.58,522,NA,139,24.2,267,4513,95,11,0.747,24.28,6.62,50.85,27.69,9.42,40.54,0.045,0.155,"NA",-116.86,-10.5,-3.67,"Lake","USGS_RStriegl"
9706,"Yukon Flats Lake 231A","2008-07-14",19.4,8.64,73,NA,103,14.9,23,339,9,23,0.422,7.72,0.99,3.42,0.71,0.6,11.18,0.045,0.155,"NA",-135.62,-13.58,-11.07,"Lake","USGS_RStriegl"
9707,"Yukon Flats Lake 83A","2008-07-11",21.2,8.95,169,NA,374,77.5,85,1644,46,10,0.44,22.18,3.41,6.89,3.95,1.47,0.63,0.045,0.155,"NA",-118.78,-10.54,-1.29,"Lake","USGS_RStriegl"
9708,"Yukon Flats Lake 86A","2008-07-11",21.6,9.69,184,NA,46,25.9,87,1336,48,19,0.679,23.01,0.1,9.65,5.06,1.72,12.07,0.045,0.155,"NA",-127.86,-12,-9.68,"Lake","USGS_RStriegl"
9709,"Yukon Flats Lake 91A","2008-07-11",21.1,9.55,167,NA,61,39.7,79,1291,54,18,0.703,20.3,2.6,8.51,4.97,1.5,7.8,0.045,0.155,"NA",-156.04,-18.21,-5.99,"Lake","USGS_RStriegl"
9710,"Yukon Flats Lake 51A","2008-07-11",19.8,8.43,128,NA,437,21.8,60,1164,44,21,0.711,19.29,0.22,4.76,1.68,0.25,5.56,0.045,0.155,"NA",-158,-18.29,-7.72,"Lake","USGS_RStriegl"
9711,"Yukon Flats Lake 252A","2008-07-10",20.3,8.37,207,NA,776,43,107,2235,38,6,0.313,27.6,4.51,8.41,2.61,1.09,0.79,0.045,0.155,"NA",-109.27,-9.17,0.03,"Lake","USGS_RStriegl"
9712,"Yukon Flats Lake 281A","2008-07-14",20.5,8.53,204,NA,889,25.6,103,2132,39,14,0.497,26.63,2.57,9.85,2.46,0.94,5.01,0.045,0.155,"NA",-103.3,-7.37,-4.68,"Lake","USGS_RStriegl"
9713,"Scoter Lake","2008-07-14",20.5,8.26,319,NA,1594,51,174,3655,40,7,0.347,31.73,5.23,20.5,6.2,1.66,0.53,0.045,0.155,"NA",-139.92,-14.5,-1.55,"Lake","USGS_RStriegl"
9714,"Yukon Flats Lake 306A","2008-07-14",20.4,9.47,406,NA,251,31,237,4006,73,14,0.71,32.05,2.75,37.52,12.75,3.2,6.74,0.045,0.155,"NA",-104.12,-7.76,-2.46,"Lake","USGS_RStriegl"
9729,"Yukon Flats Lake 174A","2008-07-16",20.7,8.68,193,NA,428,19.3,77,1674,2,16,0.23,26.6,1.19,7.24,1.89,0.49,21.09,0.045,0.06,"NA",-124.6,-10.6,-6.2,"Lake","USGS_RStriegl"
9730,"Yukon Flats Lake 129A","2008-07-16",19.9,8.21,160,NA,982,15.5,57,1214,63,26,1.013,20.52,1.88,7.63,1.57,0.67,17.68,0.045,0.21,"NA",-121.94,-11.2,-9.44,"Lake","USGS_RStriegl"
9731,"Yukon Flats Lake 151A","2008-07-16",20.4,9.57,273,NA,117,70.9,145,2433,69,7,0.439,17.88,11.38,19.97,11.93,3.73,0.24,0.1,0.06,"NA",-111.44,-9.13,1.29,"Lake","USGS_RStriegl"
9732,"Yukon Flats Lake 193A","2008-07-17",20.2,9.74,197,NA,43,91.2,81,1407,45,14,0.551,18.25,1.38,7.1,15.06,1.95,11.1,0.09,0.06,"NA",-158.6,-17.7,-11.94,"Lake","USGS_RStriegl"
9733,"Yukon Flats Lake 69A","2008-07-16",20,8,79,NA,1664,31.2,35,678,78,25,1.119,7.9,6.42,2.73,2.77,0.27,0.24,0.045,0.06,"NA",-105.14,-8.4,-6.8,"Lake","USGS_RStriegl"
9734,"Yukon Flats Lake 97A","2008-07-16",19.9,10.27,237,NA,0,74.4,121,1492,86,9,0.598,14.33,3.45,19.62,10.03,0.94,0.57,0.21,0.06,"NA",-158.26,-18.51,-12.27,"Lake","USGS_RStriegl"
9735,"Yukon Flats Lake 180A","2008-07-17",20.1,9.62,204,NA,66,34.4,87,1523,64,10,0.526,25.73,1.17,10.35,5.97,4.79,12.89,0.14,0.06,"NA",-136.3,-13.72,-7.61,"Lake","USGS_RStriegl"
9736,"Yukon Flats Lake 43A","2008-07-16",20.2,9.51,170,NA,127,28.1,87,1552,61,12,0.567,19.65,3.21,9.46,4.29,0.59,1.61,0.15,0.14,"NA",-156.95,-18.63,-7.38,"Lake","USGS_RStriegl"
9737," Yukon Flats Lake 157A","2008-07-17",19.6,9.03,216,NA,475,101.2,111,2269,57,8,0.44,29.81,3.15,9.43,4.27,3.07,1.07,0.045,0.06,"NA",-122.97,-11.48,2.3,"Lake","USGS_RStriegl"
9738,"Yukon Flats Lake  149A","2008-07-17",20.2,9.1,209,NA,282,17.3,90,1714,59,16,0.695,32.77,0.1,7.46,3.66,1.99,18.91,0.045,0.06,"NA",-137.52,-14.16,-6.9,"Lake","USGS_RStriegl"
9739,"Yukon Flats Lake 187A","2008-07-17",19.7,9.57,435,NA,239,69.3,237,4156,74,10,0.585,13.08,8.74,18.03,67.86,5.55,0.53,0.24,0.06,"NA",-158.91,-18.7,0.29,"Lake","USGS_RStriegl"
9740,"Yukon Flats Lake 350A","2008-07-22",15.9,8.09,168,NA,1168,10,74,1613,31,24,0.71,21.81,3.15,7.66,1.79,1.39,9.1,0.045,0.3,"NA",-153.56,-18.85,-10.77,"Lake","USGS_RStriegl"
9741,"Yukon Flats Lake 349A","2008-07-22",17,8.59,200,NA,475,14.1,95,2014,24,13,0.418,23.55,2.78,10.37,4.11,1.74,7.61,0.045,0.06,"NA",-139.24,-14.53,-7.33,"Lake","USGS_RStriegl"
9742,"Yukon Flats Lake EX2","2008-07-22",15,8.46,120,NA,542,9.7,55,1044,93,28,1.4,18.92,0.85,5.34,1.33,0.48,4.59,0.045,0.06,"NA",-143.52,-15.41,-12.71,"Lake","USGS_RStriegl"
9743,"Yukon Flats Lake 365A","2008-07-22",15.7,8.67,489,NA,1962,24.8,NA,5484,103,15,1.075,52.99,14.78,31.59,11.51,5.39,4.4,0.045,0.06,"NA",-152.56,-17.43,-10.04,"Lake","USGS_RStriegl"
9744,"Yukon Flats Lake 332A","2008-07-22",16.6,8.33,190,NA,587,10,89,1941,20,13,0.372,27.54,1.97,7.51,1.6,1.08,7.44,0.045,0.06,"NA",-115.71,-10.18,-3.47,"Lake","USGS_RStriegl"
9745,"Yukon Flats Lake 353A","2008-07-22",15.8,7.91,132,NA,1117,24.8,49,1051,43,28,0.88,16.69,3.38,5.48,1.41,1.06,12.79,0.045,0.13,"NA",-117.81,-10.44,-7.36,"Lake","USGS_RStriegl"
9746,"Yukon Flats Lake 374A","2008-07-22",14.2,8.32,154,NA,1206,8.4,76,1505,77,27,1.174,22.94,0.42,7.47,1.45,0.37,8.05,0.12,0.17,"NA",-130.87,-12.87,-11.85,"Lake","USGS_RStriegl"
9747,"Yukon Flats Lake 360A","2008-07-22",17.1,8.43,184,NA,632,17.8,86,1834,23,14,0.428,25.36,2.31,7.55,2.35,1.38,6.96,0.045,0.06,"NA",-115.61,-9.7,-11.43,"Lake","USGS_RStriegl"
9748,"Yukon Flats Lake EX1","2008-07-22",15.9,7.85,143,NA,879,14.7,68,1405,70,22,0.912,20.89,1.77,6.54,1.71,0.75,3.69,0.11,0.13,"NA",-115.81,-10.03,-6.33,"Lake","USGS_RStriegl"
9749,"Yukon Flats Lake 276A","2008-07-22",15.8,7.71,120,NA,1326,14.4,65,1228,88,25,1.209,18.31,1.16,5.97,1.15,0.41,1.03,0.045,0.23,"NA",-118.18,-10.3,-10.36,"Lake","USGS_RStriegl"
9760,"Yukon Flats Lake 145C","2008-07-25",16.7,8.8,1164,NA,3122,7.1,NA,12900,114,21,1.864,19.82,8.47,36.73,231.04,21.14,0.75,0.59,0.18,"NA",-130.2,-12.3,-3.41,"Lake","USGS_RStriegl"
9761,"Yukon Flats Lake 110A","2008-07-25",16.4,9.44,343,NA,233,17.7,188,3452,76,14,0.714,20.77,2.57,13.8,45.16,3.14,1.23,0.11,0.06,"NA",-115.7,-10.3,-2.2,"Lake","USGS_RStriegl"
9762,"Yukon Flats Lake 112A","2008-07-25",17.8,9.75,193,NA,0,20.5,91,1196,51,12,0.523,20.54,0.76,11.42,7.41,3.9,7.01,0.11,0.06,"NA",-151.2,-16.3,-8.16,"Lake","USGS_RStriegl"
9763,"Yukon Flats Lake 134A","2008-07-25",17.6,9.34,734,NA,683,12.5,NA,7407,110,25,1.867,29.79,11.62,41.44,289.91,12.39,3.51,0.38,0.06,"NA",-143.7,-15.5,-3.28,"Lake","USGS_RStriegl"
9764,"Yukon Flats Lake 145A","2008-07-25",17.8,8.69,1392,NA,2957,8,1435,15337,4,30,4,23.76,23.06,46.69,649.33,23.58,7.72,1.07,0.06,"NA",-102.2,-6.5,-4.6,"Lake","USGS_RStriegl"
9765,"Yukon Flats Lake 145B","2008-07-25",17.2,8.93,1450,NA,3646,8.2,798,15480,3,29,3.82,22.65,18.31,32.4,347.11,20.75,10.58,1.41,0.06,"NA",-113,-9.1,-3.97,"Lake","USGS_RStriegl"
9947,"Thumb Lake","2008-09-04",12.7,9.24,140,NA,184,12.2,74,1361,90,15,0.858,22.97,2.06,7.05,1.6,0.91,0.8,0.36,0.06,"NA",-112.1,-9,-2.96,"Lake","USGS_RStriegl"
9948,"Teardrops Lake","2008-09-04",12.8,8.63,250,NA,1014,13.5,131,2903,121,4,0.094,32.16,3.12,13.5,3.82,1.59,5.32,0.28,0.06,"NA",-124.8,-11.3,-1.99,"Lake","USGS_RStriegl"
9949,"West Crazy Lake","2008-09-04",12.4,8.36,116,NA,632,6.1,42,916,19,19,0.459,15.48,2.27,5.12,1.14,1.19,12.9,0.27,0.47,"NA",-110.5,-8.3,-8.13,"Lake","USGS_RStriegl"
9950,"Twin Lakes","2008-09-04",12.4,8.8,154,NA,232,11.5,56,1138,35,20,0.635,23.01,1,6.99,1.1,0.94,20.08,0.29,0.06,"NA",-131.1,-12.6,-8.18,"Lake","USGS_RStriegl"
9951,"Twelvemile Lake","2008-09-03",12.2,8.77,687,10.5,849,16.3,329,6622,91,4,0.432,29.39,25.17,65.86,19,7.92,46.37,0.63,0.14,"NA",-136.6,-14.2,0.67,"Lake","USGS_RStriegl"
9952,"Shack Lake","2008-09-03",11.7,9.04,1552,NA,2638,6,918,17632,11,30,5.04,18.55,11.69,34.72,385.46,28.27,10.62,1.76,0.06,"NA",-152.8,-16.6,-4.32,"Lake","USGS_RStriegl"
9953,"Scoter Lake","2008-09-03",13.2,8.9,331,NA,82457,17.1,183,4136,44,5,0.295,24.16,7.37,29.32,10.08,3.72,2.18,0.41,0.14,"NA",-148.5,-15.2,-1.77,"Lake","USGS_RStriegl"
9954,"Canvasback Lake","2008-09-03",12.1,9.28,673,NA,15649,20.3,420,8275,71,18,0.811,24.97,3.15,60.8,71.48,6.25,6.26,0.5,0.06,"NA",-113,-9.6,-3.41,"Lake","USGS_RStriegl"
9955,"Greenpepper Lake","2008-09-03",12.7,9.14,885,NA,1320,18.7,474,9534,80,3,0.349,23.08,13.42,82.48,74.62,49.63,5.87,0.7,0.06,"NA",-110.1,-8.7,-1.37,"Lake","USGS_RStriegl"
9956,"Sands of Time Lake","2008-09-03",12.1,8.3,151,NA,5138,7.8,73,1606,37,13,0.482,23.17,1.88,6.45,1.48,1.07,4.79,0.28,0.18,"NA",-129.9,-12.8,-6.13,"Lake","USGS_RStriegl"
10037,"Boot Lake","2009-03-25",1.4,7.31,170,6,3938,2.4,NA,2467,36,17,0.566,24.12,1.98,7.17,1.38,1.22,2.44,0.045,0.32,"NA",-122.8,-10.7,-10.42,"Lake","USGS_RStriegl"
10230,"Yukon Flats Lake 125","2009-07-17",19.9,8.34,128,NA,568,4.2,44,976,30,18,0.57,16.92,1.6,4.61,1.8,1.64,13.95,0.045,0.095,"NA",-159.2,-18.2,-7.44,"Lake","USGS_RStriegl"
10231,"Yukon Flats Lake 606","2009-07-17",21.1,9.68,156,NA,117,7.9,70,1368,52,19,0.72,20.87,1.14,5.89,1.71,0.94,9.06,0.045,0.095,"NA",-121.7,-11,-8.4,"Lake","USGS_RStriegl"
10232,"Yukon Flats Lake 189","2009-07-17",19.2,9.24,402,NA,970,16,212,4631,7,2,0.112,24.91,4.56,21.08,18.15,7.41,5.61,0.045,0.095,"NA",-125,-11.1,-0.68,"Lake","USGS_RStriegl"
10233,"Yukon Flats Lake 227","2009-07-17",20.9,9.84,240,NA,247,62.2,130,2555,60,7,0.414,17.67,4.47,11.54,8.63,2.26,0.24,0.045,0.095,"NA",-150.4,-16.1,-0.25,"Lake","USGS_RStriegl"
