p/MPa	1.5°C	23°C	50.3°C	75.2°C	100.3°C	125.4°C	150.8°C	176°C
# p	rho/g/L
15.08	1017.3
30.19	1024.1
50.31	1033.0
70.43	1041.6
100.71	1053.9
15.07		1013.3
30.17		1019.7
50.30		1027.9
70.41		1035.9
100.73		1047.3
15.06			1002.5
30.18			1008.8
50.30			1016.9
70.42			1024.6
100.72			1035.7
30.20				994.9
50.32				1003.2
70.45				1011.1
100.74				1022.4
30.19					977.8
50.32					986.5
70.45					994.9
100.74					1006.7
30.19						958.2
50.33						967.8
70.46						976.7
100.73						989.4
30.20							935.7
50.34							946.2
70.46							956.0
100.73							969.7
30.21								910.8
50.36								922.6
70.47								933.5
100.74								948.4